"","participant_id","system_generated_id","experiment_sequence","experiment_order","is_main_trial","task","visualization_size","trial_order","image_file_order","answering_time","answer","image_file_name","timestamp","page_name","answer_numeric"
"261","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",11,95,1900.8," correct"," T2S2D3-9-s2_95_t1lt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"271","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",12,109,769.499999995," correct"," T2S2D3-10-s2_109_t1lt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"281","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",13,117,1167.9," correct"," T2S2D3-11-s2_117_t1lt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"291","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",14,85,1385.89999999," correct"," T2S2D3-12-s2_85_t1lt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"301","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",15,301,1212.20000001," correct"," T2S2D3-attn-s2_301_t2r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"311","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",16,86,777.100000007," correct"," T2S2D3-13-s2_86_t1lt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"321","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",17,113,644.099999976," correct"," T2S2D3-14-s2_113_t1rt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"331","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",18,97,717.200000014," correct"," T2S2D3-15-s2_97_t1lt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"341","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",19,119,800.600000017," correct"," T2S2D3-16-s2_119_t1lt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"351","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",20,93,1199.99999995," correct"," T2S2D3-17-s2_93_t1rt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
